FID,OBJECTID,Join_Count,TARGET_FID,SEQNUM,X,Y,CFCA_ID,SiteName,Hydroclass,EcoHydro_T,Wetland_Ty,Urban_Dens,SusceptGW,Stressed,Hydro_alt,Acres,Class,SFxZsuArea,SFxZsuAr_1,SFxZusArea,SFxZusAr_1,Lake_,Name,Row,Column_,Ranking,ZsuP_L1,ZusP_L1,ZsuR_L1,ZusR_L1,ZsuP_L3,ZusP_L3,ZsuR_L3,ZusR_L3,X_SP,Y_SP
303,304,0,304,68352.000000000000000,1394441.929000000000000,10345041.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,2.648545000000000,Class 1,0.102717807478000,0.000508838470390,0.000127951211990,0.432659995667000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0943366,0.0006045,0.0387827,0.0000483,0.0036099,0.1710540,0.0001921,0.1633580,410109.0000000,1516400.0000000
304,305,0,305,68356.000000000000000,1399441.919000000000000,10345041.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,1.470748000000000,Class 1,0.000159826184370,0.000283354301377,0.077957598534200,0.243481642471000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0023867,0.0454925,0.0001087,0.0530054,0.0036092,0.1739130,0.0001927,0.1655500,415111.0000000,1516400.0000000
305,306,0,306,68357.000000000000000,1400691.916000000000000,10345041.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,6.429031000000000,Class 1,0.000355268249839,0.001233859631840,0.144117597271000,1.045180788110000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0012949,0.0182573,0.0000553,0.0224167,0.0036100,0.1700330,0.0001919,0.1625720,416361.0000000,1516400.0000000
306,307,0,307,68358.000000000000000,1401941.914000000100000,10345041.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,0.088333000000000,Class 1,0.000011220057744,0.000017022651965,0.005878610642590,0.014644669413900,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0027312,0.0588108,0.0001270,0.0665506,0.0036091,0.1742260,0.0001927,0.1657890,417612.0000000,1516400.0000000
307,308,0,308,68381.000000000000000,1430691.855999999900000,10345041.650000000000000,SJ-LE,Lake Avalon,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,0.593863000000000,Class 1,0.000000112833967,0.000115749835510,0.000000000000000,0.104846283108000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000830,0.0006789,0.0000002,0.0000000,0.0035976,0.1884560,0.0001949,0.1765500,446372.0000000,1516400.0000000
308,309,0,309,68382.000000000000000,1431941.854000000100000,10345041.650000000000000,SJ-LE,Lake Avalon,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,17.441268000000001,Class 1,0.000012383300189,0.003329712396810,0.000000000000000,2.769313246850000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0000951,0.0008141,0.0000007,0.0000000,0.0036094,0.1651260,0.0001909,0.1587790,447622.0000000,1516400.0000000
309,310,0,310,68383.000000000000000,1433191.851000000000000,10345041.650000000000000,SJ-LE,Lake Avalon,1F Xeric Lakes,1F,Ridge,High,High,YES,NO,4.327385000000000,Class 1,0.000501543930713,0.000827179644130,0.251342657200000,0.690791754644000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0025248,0.0504042,0.0001159,0.0580819,0.0036097,0.1662260,0.0001912,0.1596330,448872.0000000,1516400.0000000
310,311,0,311,68738.000000000000000,1391941.933999999900000,10343791.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,3.856134000000000,Class 1,0.141359741121000,0.000720210165699,0.000000000000000,0.562675728499000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0893906,0.0005708,0.0366584,0.0000000,0.0035933,0.1487850,0.0001868,0.1459170,407608.0000000,1515150.0000000
311,312,0,312,68739.000000000000000,1393191.931000000100000,10343791.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,1.062603000000000,Class 1,0.010107436954600,0.000199918122960,0.000000000000000,0.159175588701000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0234431,0.0001462,0.0095120,0.0000000,0.0036007,0.1536660,0.0001881,0.1497980,408859.0000000,1515150.0000000
312,313,1,313,68744.000000000000000,1399441.919000000000000,10343791.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,26.224951999999998,Class 1,0.000470475624514,0.005038075652460,0.148411461167000,4.283056945500000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,178.000000000000000,68.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036099,0.1710050,0.0001921,0.1633200,415111.0000000,1515150.0000000
313,314,1,314,68745.000000000000000,1400691.916000000000000,10343791.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006908625356610,0.203133393873000,5.914013558680000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,178.000000000000000,69.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036095,0.1728830,0.0001925,0.1647610,416361.0000000,1515150.0000000
314,315,1,315,68746.000000000000000,1401941.914000000100000,10343791.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,29.720077000000000,Class 1,0.000533178165100,0.005697636011380,0.168190967654000,4.806906359930000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,178.000000000000000,70.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036100,0.1689520,0.0001917,0.1617390,417612.0000000,1515150.0000000
315,316,1,316,68747.000000000000000,1403191.911000000100000,10343791.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,14.189793999999999,Class 1,0.000254564896587,0.002661721466400,0.080302456271400,2.102634906840000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,178.000000000000000,71.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0035979,0.1516250,0.0001876,0.1481790,418862.0000000,1515150.0000000
316,317,0,317,68748.000000000000000,1404441.909000000000000,10343791.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,0.840698000000000,Class 1,0.000029533721135,0.000156823802592,0.010940650304300,0.122150451173000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0008590,0.0108747,0.0000351,0.0130138,0.0035919,0.1480080,0.0001865,0.1452960,420113.0000000,1515150.0000000
317,318,0,318,69131.000000000000000,1398191.921000000100000,10342541.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,0.004913000000000,Class 1,0.000000519795390,0.000000943983801,0.000250901058044,0.000802925027251,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0023310,0.0436450,0.0001058,0.0510688,0.0036099,0.1711470,0.0001921,0.1634290,413860.0000000,1513900.0000000
318,319,1,319,69132.000000000000000,1399441.919000000000000,10342541.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,31.386678000000000,Class 1,0.000563076986127,0.006040679822890,0.177622546007000,5.170244138730000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,179.000000000000000,68.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036095,0.1728390,0.0001925,0.1647270,415111.0000000,1513900.0000000
319,320,1,320,69133.000000000000000,1400691.916000000000000,10342541.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894547000000003,Class 1,0.000643948153517,0.006900726450510,0.203133342940000,5.881868502420000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,179.000000000000000,69.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036098,0.1717150,0.0001922,0.1638650,416361.0000000,1513900.0000000
320,321,1,321,69134.000000000000000,1401941.914000000100000,10342541.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894547000000003,Class 1,0.000643948153517,0.006801657895570,0.203133342940000,5.526374358760000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,179.000000000000000,70.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036061,0.1589500,0.0001895,0.1539610,417612.0000000,1513900.0000000
321,322,1,322,69135.000000000000000,1403191.911000000100000,10342541.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006764688240180,0.203133393873000,5.411375898600000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,179.000000000000000,71.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036021,0.1548790,0.0001885,0.1507580,418862.0000000,1513900.0000000
322,323,1,323,69136.000000000000000,1404441.909000000000000,10342541.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,33.747425999999997,Class 1,0.000605428803953,0.006335741972130,0.190982420227000,5.016185445420000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,179.000000000000000,72.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0035987,0.1522040,0.0001877,0.1486390,420113.0000000,1513900.0000000
323,324,1,324,69137.000000000000000,1405691.906000000000000,10342541.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,18.878238000000000,Class 1,0.000338675579379,0.003607442551760,0.106835157824000,3.009656160830000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,179.000000000000000,73.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036097,0.1659580,0.0001911,0.1594250,421363.0000000,1513900.0000000
324,325,0,325,69138.000000000000000,1406941.904000000100000,10342541.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,3.089271000000000,Class 1,0.000030552890194,0.000587672019656,0.007476221496800,0.483130021822000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0003051,0.0032704,0.0000099,0.0024201,0.0036082,0.1620550,0.0001902,0.1563900,422613.0000000,1513900.0000000
325,326,1,326,69519.000000000000000,1398191.921000000100000,10341291.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,19.082104999999999,Class 1,0.000342332953247,0.003690288395360,0.107988875831000,3.220753867760000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,180.000000000000000,67.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036071,0.1781550,0.0001934,0.1687840,413860.0000000,1512650.0000000
326,327,1,327,69520.000000000000000,1399441.919000000000000,10341291.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.706525999999997,Class 1,0.000640575056880,0.006853867894600,0.202069300141000,5.808452995310000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,180.000000000000000,68.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036100,0.1701630,0.0001920,0.1626720,415111.0000000,1512650.0000000
327,328,1,328,69521.000000000000000,1400691.916000000000000,10341291.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006857654907910,0.203133393873000,5.717397278490000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,180.000000000000000,69.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036096,0.1657750,0.0001910,0.1592830,416361.0000000,1512650.0000000
328,329,1,329,69522.000000000000000,1401941.914000000100000,10341291.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006813504581250,0.203133393873000,5.564382042150000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,180.000000000000000,70.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036071,0.1603020,0.0001898,0.1550200,417612.0000000,1512650.0000000
329,330,1,330,69523.000000000000000,1403191.911000000100000,10341291.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894565999999998,Class 1,0.000643948494377,0.006843657726610,0.203133450464000,5.667681033850000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,180.000000000000000,71.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036091,0.1639910,0.0001907,0.1578980,418862.0000000,1512650.0000000
330,331,1,331,69524.000000000000000,1404441.909000000000000,10341291.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006819965859460,0.203133393873000,5.586163041290000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,180.000000000000000,72.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036076,0.1610780,0.0001900,0.1556270,420113.0000000,1512650.0000000
331,332,1,332,69525.000000000000000,1405691.906000000000000,10341291.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894565999999998,Class 1,0.000643948494377,0.006878834878080,0.203133450464000,5.795486251470000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,180.000000000000000,73.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036100,0.1685880,0.0001916,0.1614590,421363.0000000,1512650.0000000
332,333,1,333,69526.000000000000000,1406941.904000000100000,10341291.650000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,17.698499000000002,Class 1,0.000317511062365,0.003415810304410,0.100158814287000,2.956258469160000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,180.000000000000000,74.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036084,0.1758570,0.0001930,0.1670340,422613.0000000,1512650.0000000
333,334,1,334,69907.000000000000000,1398191.921000000100000,10340041.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,16.288647999999998,Class 1,0.000292218336197,0.003177752405540,0.092180227827200,2.892519891080000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,181.000000000000000,67.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0035958,0.1898330,0.0001951,0.1775790,413860.0000000,1511400.0000000
334,335,1,335,69908.000000000000000,1399441.919000000000000,10340041.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006962825922080,0.203133393873000,6.159108902260000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,181.000000000000000,68.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036044,0.1818570,0.0001940,0.1715890,415111.0000000,1511400.0000000
335,336,1,336,69909.000000000000000,1400691.916000000000000,10340041.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894547000000003,Class 1,0.000643948153517,0.006935903061020,0.203133342940000,6.031900193140000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,181.000000000000000,69.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036077,0.1771830,0.0001932,0.1680450,416361.0000000,1511400.0000000
336,337,1,337,69910.000000000000000,1401941.914000000100000,10340041.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894547000000003,Class 1,0.000643948153517,0.006900726450510,0.203133342940000,5.882337048920000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,181.000000000000000,70.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036097,0.1717320,0.0001922,0.1638780,417612.0000000,1511400.0000000
337,338,1,338,69911.000000000000000,1403191.911000000100000,10340041.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006900010493110,0.203133393873000,5.878589616040000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,181.000000000000000,71.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036098,0.1715960,0.0001922,0.1637740,418862.0000000,1511400.0000000
338,339,1,339,69912.000000000000000,1404441.909000000000000,10340041.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894547000000003,Class 1,0.000643948153517,0.006814579926420,0.203133342940000,5.567940744550000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,181.000000000000000,72.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036072,0.1604280,0.0001899,0.1551190,420113.0000000,1511400.0000000
339,340,1,340,69913.000000000000000,1405691.906000000000000,10340041.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006869141044360,0.203133393873000,5.759506033460000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,181.000000000000000,73.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036099,0.1672900,0.0001914,0.1604560,421363.0000000,1511400.0000000
340,341,1,341,69914.000000000000000,1406941.904000000100000,10340041.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,32.395378999999998,Class 1,0.000581173081514,0.006284703296520,0.183330956429000,5.562667954740000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,181.000000000000000,74.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036043,0.1820200,0.0001940,0.1717120,422613.0000000,1511400.0000000
341,342,0,342,69915.000000000000000,1408191.901000000100000,10340041.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,2.875706000000000,Class 1,0.000454764144705,0.000544917544724,0.278157382053000,0.442743537148000,0.000000000000000, ,0.000000000000000,0.000000000000000, ,0.0032556,0.0907368,0.0001581,0.0967266,0.0036061,0.1589480,0.0001895,0.1539600,423864.0000000,1511400.0000000
342,343,1,343,70295.000000000000000,1398191.921000000100000,10338791.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,29.951100000000000,Class 1,0.000537322717593,0.005833575536110,0.169498366081000,5.263216796110000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,182.000000000000000,67.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0035989,0.1873570,0.0001948,0.1757270,413860.0000000,1510150.0000000
343,344,1,344,70296.000000000000000,1399441.919000000000000,10338791.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.007010206887850,0.203133393873000,6.419714957360000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,182.000000000000000,68.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0035936,0.1915370,0.0001953,0.1788490,415111.0000000,1510150.0000000
344,345,1,345,70297.000000000000000,1400691.916000000000000,10338791.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894547000000003,Class 1,0.000643948153517,0.006972156725080,0.203133342940000,6.206639688540000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,182.000000000000000,69.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036028,0.1836120,0.0001942,0.1729130,416361.0000000,1510150.0000000
345,346,1,346,70298.000000000000000,1401941.914000000100000,10338791.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894547000000003,Class 1,0.000643948153517,0.006936621270830,0.203133342940000,6.035456546640000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,182.000000000000000,70.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036076,0.1773140,0.0001933,0.1681440,417612.0000000,1510150.0000000
346,347,1,347,70299.000000000000000,1403191.911000000100000,10338791.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006863756819960,0.203133393873000,5.739482618990000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,182.000000000000000,71.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036098,0.1665690,0.0001912,0.1598980,418862.0000000,1510150.0000000
347,348,1,348,70300.000000000000000,1404441.909000000000000,10338791.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894547000000003,Class 1,0.000643948153517,0.006768634869810,0.203133342940000,5.423344942020000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,182.000000000000000,72.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036026,0.1553020,0.0001886,0.1510910,420113.0000000,1510150.0000000
348,349,1,349,70301.000000000000000,1405691.906000000000000,10338791.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006828939044460,0.203133393873000,5.616586479030000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,182.000000000000000,73.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036082,0.1621630,0.0001902,0.1564750,421363.0000000,1510150.0000000
349,350,1,350,70302.000000000000000,1406941.904000000100000,10338791.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894547000000003,Class 1,0.000643948153517,0.006954209314920,0.203133342940000,6.117038193970000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,182.000000000000000,74.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036057,0.1803080,0.0001937,0.1704170,422613.0000000,1510150.0000000
350,351,1,351,70303.000000000000000,1408191.901000000100000,10338791.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,21.623270999999999,Class 1,0.000387921469895,0.004133072087120,0.122369766180000,3.451435671760000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,182.000000000000000,75.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036097,0.1662060,0.0001911,0.1596170,423864.0000000,1510150.0000000
351,352,1,352,70683.000000000000000,1398191.921000000100000,10337541.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,24.259910000000001,Class 1,0.000435222772111,0.004579300460260,0.137290954465000,3.679212649400000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,183.000000000000000,67.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036034,0.1560210,0.0001888,0.1516580,413860.0000000,1508900.0000000
352,353,1,353,70684.000000000000000,1399441.919000000000000,10337541.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894565999999998,Class 1,0.000643948494377,0.006868425270210,0.203133450464000,5.757276692270000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,183.000000000000000,68.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036099,0.1672100,0.0001914,0.1603940,415111.0000000,1508900.0000000
353,354,1,354,70685.000000000000000,1400691.916000000000000,10337541.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006977183853810,0.203133393873000,6.232508655020000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,183.000000000000000,69.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036019,0.1845690,0.0001944,0.1736340,416361.0000000,1508900.0000000
354,355,1,355,70686.000000000000000,1401941.914000000100000,10337541.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006942724922130,0.203133393873000,6.064026566550000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,183.000000000000000,70.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036070,0.1783610,0.0001934,0.1689400,417612.0000000,1508900.0000000
355,356,1,356,70687.000000000000000,1403191.911000000100000,10337541.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894565999999998,Class 1,0.000643948494377,0.006909344969170,0.203133450464000,5.916933995780000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,183.000000000000000,71.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036095,0.1729890,0.0001925,0.1648420,418862.0000000,1508900.0000000
356,357,1,357,70688.000000000000000,1404441.909000000000000,10337541.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006867346302900,0.203133393873000,5.753123957880000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,183.000000000000000,72.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036099,0.1670610,0.0001913,0.1602780,420113.0000000,1508900.0000000
357,358,1,358,70689.000000000000000,1405691.906000000000000,10337541.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894565999999998,Class 1,0.000643948494377,0.006834684539120,0.203133450464000,5.636023106030000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,183.000000000000000,73.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036086,0.1628580,0.0001904,0.1570160,421363.0000000,1508900.0000000
358,359,1,359,70690.000000000000000,1406941.904000000100000,10337541.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.894556000000001,Class 1,0.000643948314977,0.006931238785680,0.203133393873000,6.011145518400000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,183.000000000000000,74.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036081,0.1764240,0.0001931,0.1674670,422613.0000000,1508900.0000000
359,360,1,360,70691.000000000000000,1408191.901000000100000,10337541.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,35.608283000000000,Class 1,0.000638812577514,0.006843911770480,0.201513326304000,5.827986575990000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,183.000000000000000,75.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036098,0.1714600,0.0001922,0.1636690,423864.0000000,1508900.0000000
360,361,1,361,70692.000000000000000,1409441.899000000000000,10337541.660000000000000,SJ-LJ,Lake Louisa,1F Xeric Lakes,1F,Ridge,Moderate,High,YES,NO,5.821564000000000,Class 1,0.000104438854971,0.001104350713100,0.032945220243600,0.900134254982000,113.000000000000000,LAKE LOUISA NEAR CLERMONT,183.000000000000000,76.000000000000000,L,0.0004817,0.0055079,0.0000179,0.0056592,0.0036067,0.1597910,0.0001897,0.1546210,425114.0000000,1508900.0000000
